,DBN,School_Name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,Borough
1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,20092010,69.9,511,15.9,21.9,10.2,27.6,56.8,3.1,58.1,Manhattan
2,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,20102011,73.3,448,21.7,23.7,12.5,28.1,56.9,2,59.6,Manhattan
3,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,20112012,88.6,422,22.3,24.9,14,29.1,53.8,1.7,61.4,Manhattan
4,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,20092010,73.4,532,5.3,23.1,18,27.1,46.4,4.7,53.8,Manhattan
5,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,20102011,76.3,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,Manhattan
6,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,20112012,71.8,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,Manhattan
7,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,20092010,79.7,559,6.6,28.8,7.5,27,57.4,5.5,53.5,Manhattan
8,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,20102011,82.2,599,7,27.7,8,25.4,56.6,9.7,53.3,Manhattan
9,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,20112012,71.8,598,5,26.4,9.7,23.9,55.4,10.4,54.7,Manhattan
10,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,20102011,81.4,213,1.9,8.9,1.4,27.7,63.8,3.8,45.1,Manhattan
11,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,20112012,72.8,224,4,8.9,2.2,34.4,59.4,3.6,43.3,Manhattan
12,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,20092010,92.1,352,12.5,21.3,11.6,18.5,67.9,2,50.6,Manhattan
13,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,20102011,91,370,13.5,21.1,10.5,24.3,63.2,1.6,49.2,Manhattan
14,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,20112012,80.7,367,11.2,25.9,9.3,31.6,56.9,1.6,46.3,Manhattan
15,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20092010,19.6,1480,0.5,3.2,25.2,11.6,15.8,44.6,47.6,Manhattan
16,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20102011,24.4,1583,0.4,2.8,26,12.1,15.2,45.8,48.4,Manhattan
17,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20112012,23,1613,0.2,2.7,27.8,11.7,14.2,44.9,49.2,Manhattan
18,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,20092010,76.6,226,4,3.1,3.5,39.4,52.7,3.1,38.5,Manhattan
19,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,20102011,81.3,202,4,6.9,2.5,43.1,49,5,46,Manhattan
20,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,20112012,69.8,218,3.2,6.9,0.5,45.4,49.5,4.1,39.9,Manhattan
21,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,20102011,22.6,588,0.3,0.7,14.8,14.3,16.2,53.2,31.8,Manhattan
22,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,20112012,18,617,0.2,0.8,15.1,15.1,18.2,49.8,31.3,Manhattan
23,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,20092010,79.1,157,1.9,32.5,3.8,31.2,55.4,8.9,36.3,Manhattan
24,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,20102011,78.3,157,9.6,35.7,2.5,32.5,56.1,8.9,41.4,Manhattan
25,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,20112012,66.9,174,8,32.2,1.7,32.2,59.2,6.3,42.5,Manhattan
26,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,20092010,77.3,436,3,18.1,1.8,45,47.9,3.4,42.9,Manhattan
27,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,20102011,74.7,423,3.1,19.4,1.9,46.3,47.5,3.8,42.6,Manhattan
28,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,20112012,68.4,433,2.1,18.5,3,44.1,47.6,4.8,45,Manhattan
29,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,20092010,73.2,365,6.3,17.5,4.7,29.6,56.7,7.7,51.8,Manhattan
30,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,20102011,75.6,328,5.5,20.4,5.2,29,58.2,7.3,54,Manhattan
31,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,20112012,60.8,343,3.8,20.4,4.1,27.7,60.6,7.6,53.4,Manhattan
32,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,20092010,66.7,386,10.1,14.5,4.9,32.1,59.6,1.8,29.8,Manhattan
33,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,20102011,68.3,390,12.8,17.7,5.4,29.2,63.3,1.8,32.3,Manhattan
34,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,20112012,72.4,419,9.5,14.8,5.3,26.5,66.1,2.1,32.2,Manhattan
35,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,20092010,62.2,413,1.2,14,14,32.2,42.4,7.5,45.8,Manhattan
36,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,20102011,67,413,2.2,12.6,10.9,36.3,41.6,6.8,45,Manhattan
37,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,20112012,56.7,414,2.2,13.8,10.1,32.4,42,3.9,43.7,Manhattan
38,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,Manhattan
