DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,avg_class_size,avg_largest_class,avg_smallest_class,Borough,lat_long,lat,long,Total Grads - % of cohort,Dropped Out - % of cohort,exams_per_student,high_score_percent
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,20092010,73.4,532,5.3,23.1,18,27.1,46.4,4.7,53.8,2009,2010,91,383,423,366,1172,22.23125,27.0625,18.25,Manhattan,"(40.712331851001, -73.984796625)",40.71233185,-73.98479663,42.7,16.1,1.2564102564102564,20.408163265306122
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,20102011,76.3,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,2010,2011,91,383,423,366,1172,22.23125,27.0625,18.25,Manhattan,"(40.712331851001, -73.984796625)",40.71233185,-73.98479663,42.7,16.1,1.2564102564102564,20.408163265306122
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,20112012,71.8,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,2011,2012,91,383,423,366,1172,22.23125,27.0625,18.25,Manhattan,"(40.712331851001, -73.984796625)",40.71233185,-73.98479663,42.7,16.1,1.2564102564102564,20.408163265306122
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20092010,19.6,1480,0.5,3.2,25.2,11.6,15.8,44.6,47.6,2009,2010,159,522,574,525,1621,25.51052632,31.21052632,19.47368421,Manhattan,"(40.718725451, -73.979426386)",40.71872545,-73.97942639,100,0,1.4784313725490197,50.663129973474796
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20102011,24.4,1583,0.4,2.8,26,12.1,15.2,45.8,48.4,2010,2011,159,522,574,525,1621,25.51052632,31.21052632,19.47368421,Manhattan,"(40.718725451, -73.979426386)",40.71872545,-73.97942639,100,0,1.4784313725490197,50.663129973474796
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20112012,23,1613,0.2,2.7,27.8,11.7,14.2,44.9,49.2,2011,2012,159,522,574,525,1621,25.51052632,31.21052632,19.47368421,Manhattan,"(40.718725451, -73.979426386)",40.71872545,-73.97942639,100,0,1.4784313725490197,50.663129973474796
02M300,"Urban Assembly School of Design and Construction,",99,117,10,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,2009,2010,48,404,449,416,1269,22.64166667,27.58333333,18.16666667,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,61.3,8.8,1.1818181818181819,8.547008547008547
02M300,"Urban Assembly School of Design and Construction,",99,117,10,20102011,83.3,393,11.5,19.6,5.1,25.7,62.3,5.1,74.3,2010,2011,48,404,449,416,1269,22.64166667,27.58333333,18.16666667,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,61.3,8.8,1.1818181818181819,8.547008547008547
02M300,"Urban Assembly School of Design and Construction,",99,117,10,20112012,75.3,431,10.9,20,6,29.2,59.2,4.9,74.9,2011,2012,48,404,449,416,1269,22.64166667,27.58333333,18.16666667,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,61.3,8.8,1.1818181818181819,8.547008547008547
02M305,"Urban Assembly Academy of Government and Law, The",25,37,15,20092010,71.9,284,5.6,13.7,3.2,41.9,50,4.2,40.8,2009,2010,50,375,388,385,1148,20.8,24,17.625,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194,75.4,16.4,1.48,40.54054054054054
02M305,"Urban Assembly Academy of Government and Law, The",25,37,15,20102011,73.4,290,5.9,14.5,3.1,41.7,52.4,2.4,40.7,2010,2011,50,375,388,385,1148,20.8,24,17.625,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194,75.4,16.4,1.48,40.54054054054054
