,DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent
1,01M448,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,1.256410256,20.40816327
2,01M450,EAST SIDE COMMUNITY HS,19,21,NA,1.105263158,NA
3,01M515,LOWER EASTSIDE PREP,24,26,24,1.083333333,92.30769231
4,01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,1.478431373,50.66312997
5,02M296,High School of Hospitality Management,NA,NA,NA,NA,NA
6,02M298,Pace High School,21,21,NA,1,NA
7,02M300,"Urban Assembly School of Design and Construction,",99,117,10,1.181818182,8.547008547
8,02M303,"Facing History School, The",42,44,NA,1.047619048,NA
9,02M305,"Urban Assembly Academy of Government and Law, The",25,37,15,1.48,40.54054054
10,02M308,Lower Manhattan Arts Academy,NA,NA,NA,NA,NA
11,02M400,HS FOR ENVIRONMENTAL STUDIES,213,298,152,1.399061033,51.00671141
12,02M408,PROFESSIONAL PERFORMING ARTS,20,20,15,1,75
13,02M411,BARUCH COLLEGE CAMPUS HS,78,115,88,1.474358974,76.52173913
14,02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97,1.228070175,69.28571429
15,02M413,SCHOOL OF THE FUTURE,11,11,NA,1,NA
16,02M414,NYC MUSEUM SCHOOL,NA,NA,NA,NA,NA
17,02M416,Eleanor Roosevelt High School,155,235,169,1.516129032,71.91489362
18,02M418,Millennium High School,86,95,67,1.104651163,70.52631579
19,02M420,HEALTH PROF & HUMAN SVCS,204,248,75,1.215686275,30.24193548
20,02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32,1.2,38.0952381
21,02M429,LEGACY SCHOOL,22,26,NA,1.181818182,NA
22,02M439,MANHATTAN VILLAGE ACADEMY HS,42,69,29,1.642857143,42.02898551
23,02M440,HS FOR HUMANITIES,6,6,NA,1,NA
24,02M459,CES-MANHATTAN INTERNATIONAL,12,12,6,1,50
25,02M460,WASHINGTON IRVING HS,69,83,21,1.202898551,25.30120482
26,02M475,STUYVESANT HS,1510,2819,2648,1.866887417,93.93401916
27,02M489,HS OF ECONOMICS & FINANCE,101,176,78,1.742574257,44.31818182
28,02M519,TALENT UNLIMITED,30,34,21,1.133333333,61.76470588
29,02M520,MURRY BERGTRAUM H.S.,118,157,76,1.330508475,48.40764331
30,02M529,JACQUELINE K. ONASSIS HS,80,118,29,1.475,24.57627119
31,02M542,Manhattan Bridges High School,67,102,59,1.52238806,57.84313725
32,02M545,High School for Dual Language and Asian Studies,61,96,89,1.573770492,92.70833333
33,02M551,HARBOR HIGH SCHOOL,7,7,NA,1,NA
34,02M575,MANHATTAN COMP.NIGHT H.S.,58,100,61,1.724137931,61
35,02M580,R.R.GREEN HS OF TEACHING,67,117,40,1.746268657,34.18803419
36,02M600,HS FOR FASHION INDUSTRIES,70,87,26,1.242857143,29.88505747
37,02M615,CHELSEA VHS,52,97,13,1.865384615,13.40206186
38,02M620,NORMAN THOMAS H.S.,34,34,14,1,41.17647059
39,02M625,HS COMMUNICATION GRAPHIC ART,79,85,9,1.075949367,10.58823529
40,02M630,HS OF ART AND DESIGN,84,100,33,1.19047619,33
41,02M655,LIFE SCIENCES SECONDARY SCHL,50,90,10,1.8,11.11111111
42,03M415,WADLEIGH ARTS HIGH SCHOOL,65,73,NA,1.123076923,NA
43,03M470,LOUIS D. BRANDEIS HS,48,70,6,1.458333333,8.571428571
44,03M479,BEACON SCHOOL,166,197,140,1.186746988,71.06598985
45,03M485,FIORELLO H.LAGUARDIA HS,691,1236,790,1.788712012,63.91585761
46,03M494,"MLK, JR HS FOR ARTS & TECH",38,38,6,1,15.78947368
47,03M860,FREDERICK DOUGLASS ACADEMY II,11,11,NA,1,NA
48,04M409,COALITION SCHL FOR SOCIAL CHG,18,18,NA,1,NA
49,04M435,MANHATTAN CENTER-SCIENCE&MATH,328,426,261,1.298780488,61.26760563
50,04M495,PARK EAST H.S.,NA,NA,NA,NA,NA
51,04M555,CENTRAL PARK EAST H.S.,NA,NA,NA,NA,NA
52,04M610,THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41,55,29,1.341463415,52.72727273
53,04M610,YOUNG WOMEN'S LEADERSHIP SCH,NA,NA,NA,NA,NA
54,05M304,Mott Hall High School,11,11,NA,1,NA
55,05M367,Academy for Social Action: A College Board School,17,17,NA,1,NA
56,05M469,CHOIR ACADEMY OF HARLEM,6,6,NA,1,NA
57,05M499,FREDRICK DOUGLAS SEC. SCHOOL,163,226,159,1.386503067,70.3539823
58,05M670,THURGOOD MARSHALL ACADEMY,37,38,NA,1.027027027,NA
59,05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114,124,71,1.087719298,57.25806452
60,06M462,H.S. INT'L BUSINESS & FINANCE,108,135,43,1.25,31.85185185
61,06M463,H.S. MEDIA & COMMUNICATIONS,37,64,NA,1.72972973,NA
62,06M467,H.S. LAW & PUBLIC SERVICE,141,212,82,1.503546099,38.67924528
63,06M468,H.S. HEALTH CAREERS & SCIENCE,32,38,17,1.1875,44.73684211
64,06M540,A PHILIP RANDOLPH CAMPUS,165,222,72,1.345454545,32.43243243
65,06M552,GREGORIO LUPERON HS SCI & MATH,88,138,73,1.568181818,52.89855072
66,07X221,South Bronx Preparatory: A College Board School,63,89,24,1.412698413,26.96629213
67,07X500,LINCOLN ACADEMY/ HOSTOS,64,107,39,1.671875,36.44859813
68,07X520,FOREIGN LANG ACAD/GLOBAL STUD,13,13,12,1,92.30769231
69,07X527,Bronx Leadership Academy II High School,30,30,NA,1,NA
70,07X547,New Explorers High School,18,18,NA,1,NA
71,07X548,Urban Assembly School for Careers in Sports,NA,NA,NA,NA,NA
72,07X551,Bronx Academy of Letters,53,92,37,1.735849057,40.2173913
73,07X600,ALFRED E. SMITH VHS,11,11,NA,1,NA
74,07X655,SAMUEL GOMPERS VHS,77,126,NA,1.636363636,NA
75,07X670,HEALTH OPPORTUNITIES PROGRAM,61,117,29,1.918032787,24.78632479
76,08X282,Women's Academy of Excellence,21,22,NA,1.047619048,NA
77,08X293,Renaissance High School for Musical Theater & Tech,22,29,14,1.318181818,48.27586207
78,08X295,Gateway School for Environmental Research and Tech,NA,NA,NA,NA,NA
79,08X305,Pablo Neruda Academy for Architecture and World St,NA,NA,NA,NA,NA
80,08X312,Millennium Art Academy,35,55,NA,1.571428571,NA
81,08X332,Holcombe L. Rucker School of Community Research,20,28,NA,1.4,NA
82,08X405,HERBERT LEHMAN HS,430,532,197,1.237209302,37.03007519
83,08X540,School for Community Research and Learning,9,9,NA,1,NA
84,08X650,JANE ADDAMS VHS,44,69,8,1.568181818,11.5942029
85,09X231,Eagle Academy for Young Men,32,44,11,1.375,25
86,09X239,Urban Assembly Academy for History and Citizenship,9,9,NA,1,NA
87,11X455,HARRY S TRUMAN HS,103,135,27,1.310679612,20
88,09X241,Urban Assembly School for Applied Math and Science,16,16,NA,1,NA
89,09X250,Eximius College Preparatory Academy: A College Boa,90,146,11,1.622222222,7.534246575
90,09X260,Bronx Center for Science and Mathematics,62,80,35,1.290322581,43.75
91,09X263,Validus Preparatory Academy: An Expeditionary Lear,7,7,NA,1,NA
92,09X276,Leadership Institute,17,17,7,1,41.17647059
93,09X329,DreamYard Preparatory School,15,15,NA,1,NA
94,09X365,Academy for Language and Technology,20,20,20,1,100
95,09X412,BRONX HIGH SCHOOL OF BUSINESS,26,31,9,1.192307692,29.03225806
96,09X414,J. LEVIN HS FOR MEDIA & COMM.,18,18,NA,1,NA
97,09X505,"BRONX SCH FOR LAW, GOVT, JUST",45,55,27,1.222222222,49.09090909
98,09X517,FREDERICK DOUGLASS ACADEMY III,26,36,NA,1.384615385,NA
99,09X525,BRONX LEADERSHIP ACADEMY HS,40,42,8,1.05,19.04761905
100,10X141,MS/HS 141 D A STEIN RIV/KINGSB,133,184,119,1.383458647,64.67391304
101,10X213,Bronx Engineering and Technology Academy,107,228,10,2.130841121,4.385964912
102,10X225,Theatre Arts Production Company School,17,27,NA,1.588235294,NA
103,10X237,"The Marie Curie School for Medicine, Nursing, and",15,15,NA,1,NA
104,10X243,West Bronx Academy for the Future,25,29,14,1.16,48.27586207
105,10X268,Kingsbridge International High School,32,37,NA,1.15625,NA
106,10X284,Bronx School of Law and Finance,21,27,NA,1.285714286,NA
107,10X342,International School for Liberal Arts,55,73,45,1.327272727,61.64383562
108,10X368,MS/HS 368 INFO & NETWORK TECH,40,54,17,1.35,31.48148148
109,10X433,HS FOR TEACHING & PROFESSIONS,62,83,13,1.338709677,15.6626506
110,10X434,BELMONT PREPARATORY HIGH SCHL,31,45,10,1.451612903,22.22222222
111,10X437,FORDHAM HS FOR THE ARTS,NA,NA,NA,NA,NA
112,10X438,FORDHAM LDRSHP ACAD BUS & TECH,42,47,12,1.119047619,25.53191489
113,10X439,BRONX HS OF LAW & COMM SERVICE,44,65,9,1.477272727,13.84615385
114,10X440,DEWITT CLINTON HS,366,540,262,1.475409836,48.51851852
115,10X442,"Celia Cruz Bronx High School of Music, The",31,35,8,1.129032258,22.85714286
116,10X445,BRONX HS OF SCIENCE,1190,2435,2189,2.046218487,89.8973306
117,10X475,JOHN F KENNEDY HS,46,48,19,1.043478261,39.58333333
118,10X477,MARBLE HILL HS FOR INT STUDIES,83,141,37,1.698795181,26.24113475
119,10X546,Bronx Theatre High School,34,34,NA,1,NA
120,10X549,Discovery High School,NA,NA,NA,NA,NA
121,10X696,HIGH SCHOOL OF AMERICAN STUDIES At Lehman College,194,302,243,1.556701031,80.46357616
122,11X249,Bronx Health Sciences High School,NA,NA,NA,NA,NA
123,11X253,Bronx High School for Writing and Communication Ar,28,30,NA,1.071428571,NA
124,11X270,Academy for Scholarship and Entrepreneurship: A Co,24,24,NA,1,NA
125,11X275,High School of Computers and Technology,NA,NA,NA,NA,NA
126,11X288,Collegiate Institute for Math and Science,79,111,33,1.405063291,29.72972973
127,11X299,Astor Collegiate Academy,36,48,12,1.333333333,25
128,11X415,CHRISTOPHER COLUMBUS HS,34,34,6,1,17.64705882
129,11X418,BRONX HS FOR THE VISUAL ARTS,26,41,9,1.576923077,21.95121951
130,11X513,New World High School,12,12,NA,1,NA
131,11X542,Pelham Preparatory Academy,46,57,17,1.239130435,29.8245614
132,12X248,"Metropolitan High School, The",25,25,NA,1,NA
133,12X267,Bronx Latin,NA,NA,NA,NA,NA
