,DBN,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
1,01M292,Henry Street School for International Studies,22.56428571,26.57142857,18.5
2,01M332,University Neighborhood Middle School,22,23.5,21
3,01M378,School for Global Leaders,33,33,33
4,01M448,University Neighborhood High School,22.23125,27.0625,18.25
5,01M450,East Side Community School,21.2,22.86666667,19.4
6,01M458,Forsyth Satellite Academy,23,23.4,22.6
7,01M509,Marta Valle High School,23.57142857,27.35714286,20
8,01M515,Lower East Side Preparatory High School,22.87647059,28.58823529,15.76470588
9,01M539,"New Explorations into Science, Technology and Math High School",25.51052632,31.21052632,19.47368421
10,01M650,Cascades High School,21.78125,24.75,18.6875
11,01M696,Bard High School Early College,20.975,24.25,17.16666667
12,02M047,47 The American Sign Language and English Secondary School,16.07272727,17.09090909,15.09090909
13,02M104,J.H.S. 104 Simon Baruch,21.25,26.5,15
14,02M126,P.S. 126 Jacob August Riis,27.8,30,25
15,02M131,M.S. 131,14,14.66666667,13.33333333
16,02M255,M.S. 255 Salk School of Science,31,31,31
17,02M288,Food and Finance High School,22.68333333,26.16666667,19.33333333
18,02M294,Essex Street Academy,14.9,17.85714286,12.28571429
19,02M296,High School of Hospitality Management,22.96428571,27.57142857,16.21428571
20,02M298,Pace High School,21.3125,25.0625,18
21,02M300,"Urban Assembly School of Design and Construction, The",22.64166667,27.58333333,18.16666667
22,02M303,"Facing History School, The",21.85,26.16666667,18.5
23,02M305,"Urban Assembly Academy of Government and Law, The",20.8,24,17.625
24,02M308,Lower Manhattan Arts Academy,23.25,26,20.75
25,02M313,"James Baldwin School, The: A School for Expeditionary Learning",21.92142857,24.07142857,19.78571429
26,02M316,"Urban Assembly School of Business for Young Women, the",26.31666667,27.75,23.5
27,02M374,Gramercy Arts High School,27.20714286,30.57142857,22.85714286
28,02M376,NYC iSchool,37.02307692,50.69230769,25.84615385
29,02M392,MANHATTAN BUSINESS ACADEMY,25.25714286,27,23.42857143
30,02M393,BUSINESS OF SPORTS SCHOOL,22.12857143,26.42857143,16.14285714
31,02M394,EMMA LAZARUS HIGH SCHOOL,24.7,31.7,16.5
32,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17.85454545,24,14.09090909
33,02M400,High School for Environmental Studies,30.58,34.6,21.8
34,02M408,Professional Performing Arts High School,28.95294118,31.58823529,25.11764706
35,02M411,Baruch College Campus High School,26.57333333,31.53333333,19.4
36,02M412,N.Y.C. Lab School for Collaborative Studies,32.56666667,34.46666667,30.46666667
37,02M414,N.Y.C. Museum School,27.74375,31,23.9375
38,02M416,Eleanor Roosevelt High School,27.43333333,30.66666667,23.55555556
39,02M418,Millennium High School,29.21176471,31.35294118,26.41176471
40,02M419,Landmark High School,23.22857143,25.71428571,21.21428571
41,02M420,High School for Health Professions and Human Services,32.1875,34.0625,28.1875
42,02M425,Leadership and Public Service High School,27.97333333,31.86666667,22.66666667
43,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,23.02,27,16.6
44,02M429,Legacy School for Integrated Studies,19.92307692,24.69230769,15.61538462
45,02M432,MURRAY HILL ACADEMY,17.075,21.75,12
46,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,28,29,27
47,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24.5,26,23
48,02M439,Manhattan Village Academy,21.35625,23.5,19.3125
49,02M440,Bayard Rustin Educational Complex,25.925,30.83333333,19.75
50,02M449,Vanguard High School,19.21666667,21.16666667,16.66666667
51,02M459,Manhattan International High School,20.31176471,22.47058824,17.17647059
