,DBN,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear
1,01M034,20072008,NA,420,8.3,21.2,5,21,71.7,2.1,50,2007,2008
2,01M292,20052006,NA,294,9.9,19,11.6,36.1,45.2,3.4,54.4,2005,2006
3,01M292,20062007,NA,434,10.6,22.4,13.1,31.6,47.9,3.2,55.5,2006,2007
4,01M292,20072008,NA,515,10.1,24.1,10.9,30.7,52.8,2.3,54.6,2007,2008
5,01M292,20082009,NA,470,10.6,25.1,10,29.4,56.2,3,56.2,2008,2009
6,01M292,20092010,69.9,511,15.9,21.9,10.2,27.6,56.8,3.1,58.1,2009,2010
7,01M292,20102011,73.3,448,21.7,23.7,12.5,28.1,56.9,2,59.6,2010,2011
8,01M292,20112012,88.6,422,22.3,24.9,14,29.1,53.8,1.7,61.4,2011,2012
9,01M448,20052006,NA,478,7.7,15.7,25.1,15.1,45.4,4.4,51.7,2005,2006
10,01M448,20062007,NA,533,6.8,15.6,24.2,17.4,47.3,4.1,48.4,2006,2007
11,01M448,20072008,NA,588,7.1,19,22.3,19.6,47.3,4.4,51,2007,2008
12,01M448,20082009,NA,586,6.7,21.7,19.3,23.5,47.8,4.3,52.4,2008,2009
13,01M448,20092010,73.4,532,5.3,23.1,18,27.1,46.4,4.7,53.8,2009,2010
14,01M448,20102011,76.3,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,2010,2011
15,01M448,20112012,71.8,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,2011,2012
16,01M450,20052006,NA,501,6,24.8,6.4,27.5,59.7,5.6,48.7,2005,2006
17,01M450,20062007,NA,562,5,25.1,4.8,28.6,60,5.3,52.7,2006,2007
18,01M450,20072008,NA,554,6.3,24.5,5.6,26.9,60.5,5.2,52,2007,2008
19,01M450,20082009,NA,546,4.9,26.7,6.2,26.6,59.7,6,52.2,2008,2009
20,01M450,20092010,79.7,559,6.6,28.8,7.5,27,57.4,5.5,53.5,2009,2010
21,01M450,20102011,82.2,599,7,27.7,8,25.4,56.6,9.7,53.3,2010,2011
22,01M450,20112012,71.8,598,5,26.4,9.7,23.9,55.4,10.4,54.7,2011,2012
23,01M458,20102011,81.4,213,1.9,8.9,1.4,27.7,63.8,3.8,45.1,2010,2011
24,01M458,20112012,72.8,224,4,8.9,2.2,34.4,59.4,3.6,43.3,2011,2012
25,01M509,20052006,NA,558,14,24.4,16.5,13.6,66.5,2.3,53.4,2005,2006
26,01M509,20062007,NA,619,11.6,23.3,13.2,18.9,66.2,1.6,49.6,2006,2007
27,01M509,20072008,NA,522,15.5,21.1,11.7,17.2,69.2,1.9,51.3,2007,2008
28,01M509,20082009,NA,441,12.9,18.4,11.8,17.7,68.7,1.8,52.2,2008,2009
29,01M509,20092010,92.1,352,12.5,21.3,11.6,18.5,67.9,2,50.6,2009,2010
30,01M509,20102011,91,370,13.5,21.1,10.5,24.3,63.2,1.6,49.2,2010,2011
31,01M509,20112012,80.7,367,11.2,25.9,9.3,31.6,56.9,1.6,46.3,2011,2012
32,02M298,20052006,NA,208,1.9,2.9,38.5,23.6,23.1,5.3,51.9,2005,2006
33,01M539,20052006,NA,755,0.1,4.9,17.5,8.1,17.5,55.1,43.7,2005,2006
34,01M539,20062007,NA,879,0,4.6,20.7,7.3,15,56.8,44.7,2006,2007
35,01M539,20072008,NA,1063,0.5,4,22.4,9.7,15.3,51.8,46.2,2007,2008
36,01M539,20082009,NA,1302,0.2,3.8,21.8,11.2,16.6,49.4,48,2008,2009
