,DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,55.1,14.1
2,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,42.7,16.1
3,01M450,EAST SIDE COMMUNITY SCHOOL,77.8,5.6
4,01M509,MARTA VALLE HIGH SCHOOL,56,6
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,54.4,18.1
6,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,100,0
7,01M650,CASCADES HIGH SCHOOL,55.1,6.7
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,96.4,0.7
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,76,4
10,02M288,FOOD AND FINANCE HIGH SCHOOL,89.2,2.9
11,02M294,ESSEX STREET ACADEMY,71.9,10.1
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,77.3,6.7
13,02M298,PACE HIGH SCHOOL,84.8,4.3
14,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,61.3,8.8
15,02M303,FACING HISTORY SCHOOL  THE,47.9,19.7
16,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,75.4,16.4
17,02M308,LOWER MANHATTAN ARTS ACADEMY,67.6,8.8
18,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,51.9,15.2
19,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,73.6,5.6
20,02M374,GRAMERCY ARTS HIGH SCHOOL,73.1,7.5
21,02M394,EMMA LAZARUS HIGH SCHOOL,NA,NA
22,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,74.4,6.3
23,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,76.4,3.6
24,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,92.5,0
25,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,98.1,0
26,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,91.1,1.6
27,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,64.2,2.1
28,02M414,N.Y.C. MUSEUM SCHOOL,94.3,1.9
29,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,100,0
30,02M418,MILLENNIUM HIGH SCHOOL,96.7,0
31,02M419,LANDMARK HIGH SCHOOL,61.7,13.8
32,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,82.1,0.6
33,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,54.2,16
34,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,47.9,6.8
35,02M439,MANHATTAN VILLAGE ACADEMY,98.2,0
36,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,38.1,18.6
37,02M449,VANGUARD HIGH SCHOOL,44.9,3.4
38,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,55.1,7.2
39,02M460,WASHINGTON IRVING HIGH SCHOOL,51.9,26.6
40,02M475,STUYVESANT HIGH SCHOOL,98.3,0.4
41,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,76.8,7.3
42,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,73.6,11.3
43,02M519,TALENT UNLIMITED HIGH SCHOOL,92.6,0
44,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,56.4,11.6
45,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,64.9,10.1
46,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,85.7,8.2
47,02M542,MANHATTAN BRIDGES HIGH SCHOOL,69.4,13.5
48,02M543,NEW DESIGN HIGH SCHOOL,67.3,7.9
49,02M544,INDEPENDENCE HIGH SCHOOL,17.2,13.1
50,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,92.6,0
51,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,49.5,19.6
52,02M551,THE HARBOR HS,80.5,18.2
53,02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,45.1,0.9
54,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,41.3,2.2
55,02M570,SATELLITE ACADEMY HIGH SCHOOL,12.7,10.8
56,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,45.4,16.9
57,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,64.9,11.2
58,02M586,HARVEY MILK HIGH SCHOOL,40,23.3
59,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,87.7,2.4
60,02M605,HUMANITIES PREPARATORY ACADEMY,81.3,2.1
61,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,48,24.9
62,02M620,NORMAN THOMAS HIGH SCHOOL,47.8,22.6
