,DBN,school_name,Borough,lat_long,lat,long
1,27Q260,Frederick Douglass Academy VI High School,Queens,"(40.601989336, -73.762834323)",40.60198934,-73.76283432
2,21K559,Life Academy High School for Film and Music,Brooklyn,"(40.593593811, -73.984729232)",40.59359381,-73.98472923
3,16K393,Frederick Douglass Academy IV Secondary School,Brooklyn,"(40.692133704, -73.931503172)",40.6921337,-73.93150317
4,08X305,Pablo Neruda Academy,Bronx,"(40.822303765, -73.85596139)",40.82230377,-73.85596139
5,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Manhattan,"(40.773670507, -73.985268558)",40.77367051,-73.98526856
6,02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194
7,11X509,High School of Language and Innovation,Bronx,"(40.859698316, -73.860741404)",40.85969832,-73.8607414
8,17K122,Pathways in Technology Early College High School (P-Tech),Brooklyn,"(40.675402307, -73.938881176)",40.67540231,-73.93888118
9,08X348,Schuylerville Preparatory High School,Bronx,"(40.840513977, -73.83812096)",40.84051398,-73.83812096
10,24Q236,International High School for Health Sciences,Queens,"(40.7412052, -73.874729884)",40.7412052,-73.87472988
11,23K644,Eagle Academy for Young Men II,Brooklyn,"(40.677825501, -73.91582338)",40.6778255,-73.91582338
12,29Q498,Humanities & Arts Magnet High School,Queens,"(40.695536336, -73.734918342)",40.69553634,-73.73491834
13,15K462,Secondary School for Law,Brooklyn,"(40.669598175, -73.979255522)",40.66959818,-73.97925552
14,28Q440,Forest Hills High School,Queens,"(40.729431572, -73.845629073)",40.72943157,-73.84562907
15,08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,"(40.81491834, -73.856565535)",40.81491834,-73.85656554
16,02M615,Chelsea Career and Technical Education High School,Manhattan,"(40.724352874, -74.004759292)",40.72435287,-74.00475929
17,04M610,Young Women's Leadership School,Manhattan,"(40.792706956, -73.947299662)",40.79270696,-73.94729966
18,08X561,Bronx Compass High School,Bronx,"(40.822303765, -73.85596139)",40.82230377,-73.85596139
19,28Q896,"Young Women's Leadership School, Queens",Queens,"(40.708207826, -73.804077946)",40.70820783,-73.80407795
20,01M450,East Side Community School,Manhattan,"(40.729782687, -73.983041441)",40.72978269,-73.98304144
21,27Q262,Channel View School for Research,Queens,"(40.586007187, -73.823089444)",40.58600719,-73.82308944
22,18K576,Victory Collegiate High School,Brooklyn,"(40.63262743, -73.917797989)",40.63262743,-73.91779799
23,02M551,Urban Assembly New York Harbor School,Manhattan,"(40.690787629, -74.019757326)",40.69078763,-74.01975733
24,25Q281,East-West School of International Studies,Queens,"(40.749302805, -73.821808106)",40.74930281,-73.82180811
25,06M463,High School for Media and Communications,Manhattan,"(40.855938307, -73.927029634)",40.85593831,-73.92702963
26,17K546,High School for Public Service: Heroes of Tomorrow,Brooklyn,"(40.659517006001, -73.942546499)",40.65951701,-73.9425465
27,25Q285,World Journalism Preparatory: A College Board School,Queens,"(40.765123273, -73.790059676)",40.76512327,-73.79005968
28,26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Queens,"(40.744904361, -73.726909642)",40.74490436,-73.72690964
29,03M479,Beacon High School,Manhattan,"(40.772158119, -73.987796535)",40.77215812,-73.98779654
30,19K409,East New York Family Academy,Brooklyn,"(40.660637024, -73.88634165)",40.66063702,-73.88634165
31,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,"(40.888372849, -73.914093204)",40.88837285,-73.9140932
32,12X267,Bronx Latin,Bronx,"(40.827763979, -73.900386813)",40.82776398,-73.90038681
33,14K632,Frances Perkins Academy,Brooklyn,"(40.72264264, -73.952583045)",40.72264264,-73.95258305
34,11X249,Bronx Health Sciences High School,Bronx,"(40.874131798, -73.833804513)",40.8741318,-73.83380451
35,06M211,Inwood Early College for Health and Information Technologies,Manhattan,"(40.866045549, -73.924856642)",40.86604555,-73.92485664
36,28Q680,Queens Gateway to Health Sciences Secondary School,Queens,"(40.718810094, -73.806500455)",40.71881009,-73.80650046
37,30Q301,Academy for Careers in Television and Film,Queens,"(40.741137328, -73.949688599)",40.74113733,-73.9496886
38,06M467,High School for Law and Public Service,Manhattan,"(40.855938307, -73.927029634)",40.85593831,-73.92702963
39,04M680,"Heritage School, The",Manhattan,"(40.791879618, -73.9465864)",40.79187962,-73.9465864
40,20K505,Franklin Delano Roosevelt High School,Brooklyn,"(40.620263373, -73.982011)",40.62026337,-73.982011
41,17K600,Clara Barton High School,Brooklyn,"(40.670270557, -73.961654824)",40.67027056,-73.96165482
42,14K488,Brooklyn Preparatory High School,Brooklyn,"(40.715037551, -73.954649959)",40.71503755,-73.95464996
43,03M494,High School of Arts and Technology,Manhattan,"(40.774296411, -73.984822701)",40.77429641,-73.9848227
44,06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,"(40.838032322, -73.938371018)",40.83803232,-73.93837102
