"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"1","01M448","UNIVERSITY NEIGHBORHOOD H.S.",39,49,10,20092010,73.4,532,5.3,23.1,18,27.1,46.4,4.7,53.8,2009,2010,91,383,423,366,1172
"2","01M448","UNIVERSITY NEIGHBORHOOD H.S.",39,49,10,20102011,76.3,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,2010,2011,91,383,423,366,1172
"3","01M448","UNIVERSITY NEIGHBORHOOD H.S.",39,49,10,20112012,71.8,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,2011,2012,91,383,423,366,1172
"4","01M539","NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20092010,19.6,1480,0.5,3.2,25.2,11.6,15.8,44.6,47.6,2009,2010,159,522,574,525,1621
"5","01M539","NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20102011,24.4,1583,0.4,2.8,26,12.1,15.2,45.8,48.4,2010,2011,159,522,574,525,1621
"6","01M539","NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,20112012,23,1613,0.2,2.7,27.8,11.7,14.2,44.9,49.2,2011,2012,159,522,574,525,1621
"7","02M300","Urban Assembly School of Design and Construction,",99,117,10,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,2009,2010,48,404,449,416,1269
"8","02M300","Urban Assembly School of Design and Construction,",99,117,10,20102011,83.3,393,11.5,19.6,5.1,25.7,62.3,5.1,74.3,2010,2011,48,404,449,416,1269
"9","02M300","Urban Assembly School of Design and Construction,",99,117,10,20112012,75.3,431,10.9,20,6,29.2,59.2,4.9,74.9,2011,2012,48,404,449,416,1269
"10","02M305","Urban Assembly Academy of Government and Law, The",25,37,15,20092010,71.9,284,5.6,13.7,3.2,41.9,50,4.2,40.8,2009,2010,50,375,388,385,1148
"11","02M305","Urban Assembly Academy of Government and Law, The",25,37,15,20102011,73.4,290,5.9,14.5,3.1,41.7,52.4,2.4,40.7,2010,2011,50,375,388,385,1148
"12","02M305","Urban Assembly Academy of Government and Law, The",25,37,15,20112012,68.3,312,6.1,17,3.8,41.7,50.6,3.5,43.9,2011,2012,50,375,388,385,1148
"13","02M400","HS FOR ENVIRONMENTAL STUDIES",213,298,152,20092010,58.2,1418,5.9,11.4,15.7,17.3,54.4,12.3,48.7,2009,2010,263,465,493,461,1419
"14","02M400","HS FOR ENVIRONMENTAL STUDIES",213,298,152,20102011,55.9,1429,7.4,12.9,16.1,15,56.2,12.6,49.5,2010,2011,263,465,493,461,1419
"15","02M400","HS FOR ENVIRONMENTAL STUDIES",213,298,152,20112012,56.4,1394,7.1,14.4,16.7,14.8,57.2,11.1,50.4,2011,2012,263,465,493,461,1419
"16","02M408","PROFESSIONAL PERFORMING ARTS",20,20,15,20092010,21.4,467,1.5,3.6,6,28.5,18.6,42.4,26.8,2009,2010,94,509,490,523,1522
"17","02M408","PROFESSIONAL PERFORMING ARTS",20,20,15,20102011,27.8,495,1.8,3,5.5,20.6,29.7,37,26.5,2010,2011,94,509,490,523,1522
"18","02M408","PROFESSIONAL PERFORMING ARTS",20,20,15,20112012,23.5,502,2,3.2,7,19.1,23.7,41.8,25.3,2011,2012,94,509,490,523,1522
"19","02M411","BARUCH COLLEGE CAMPUS HS",78,115,88,20092010,59.2,440,0.2,2.5,58.4,6.1,11.6,23.2,41.8,2009,2010,104,496,563,518,1577
"20","02M411","BARUCH COLLEGE CAMPUS HS",78,115,88,20102011,62.2,438,1.1,2.1,60.5,6.6,11.4,21.5,42.5,2010,2011,104,496,563,518,1577
"21","02M411","BARUCH COLLEGE CAMPUS HS",78,115,88,20112012,54.6,432,1.6,2.3,60.6,5.8,14.6,18.8,44,2011,2012,104,496,563,518,1577
"22","02M412","NYC LAB HS FOR COLL. STUDIES",114,140,97,20092010,20.2,520,0.6,15.8,29.2,9,13.3,46.2,50.2,2009,2010,114,537,590,550,1677
"23","02M412","NYC LAB HS FOR COLL. STUDIES",114,140,97,20102011,23.8,524,1.1,12.8,27.7,8,14.3,49.2,48.9,2010,2011,114,537,590,550,1677
"24","02M412","NYC LAB HS FOR COLL. STUDIES",114,140,97,20112012,21.6,579,1.6,15,29.4,8.5,14,45.9,47,2011,2012,114,537,590,550,1677
"25","02M416","Eleanor Roosevelt High School",155,235,169,20092010,26.7,498,0.6,2.2,18.1,8.2,9.8,61.2,35.9,2009,2010,127,572,594,592,1758
"26","02M416","Eleanor Roosevelt High School",155,235,169,20102011,16.7,499,0.2,2.2,19.6,7.4,10,62.5,33.3,2010,2011,127,572,594,592,1758
"27","02M416","Eleanor Roosevelt High School",155,235,169,20112012,15.8,507,0.2,1.2,17.2,5.5,11.6,63.7,32.5,2011,2012,127,572,594,592,1758
