"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"1","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20052006,NA,294,9.9,19,11.6,36.1,45.2,3.4,54.4,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"2","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20062007,NA,434,10.6,22.4,13.1,31.6,47.9,3.2,55.5,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"3","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20072008,NA,515,10.1,24.1,10.9,30.7,52.8,2.3,54.6,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"4","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20082009,NA,470,10.6,25.1,10,29.4,56.2,3,56.2,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"5","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20092010,69.9,511,15.9,21.9,10.2,27.6,56.8,3.1,58.1,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"6","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20102011,73.3,448,21.7,23.7,12.5,28.1,56.9,2,59.6,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"7","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,20112012,88.6,422,22.3,24.9,14,29.1,53.8,1.7,61.4,"Manhattan","(40.713763947, -73.98526004)",40.713763947,-73.98526004
"8","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20052006,NA,478,7.7,15.7,25.1,15.1,45.4,4.4,51.7,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"9","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20062007,NA,533,6.8,15.6,24.2,17.4,47.3,4.1,48.4,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"10","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20072008,NA,588,7.1,19,22.3,19.6,47.3,4.4,51,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"11","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20082009,NA,586,6.7,21.7,19.3,23.5,47.8,4.3,52.4,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"12","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20092010,73.4,532,5.3,23.1,18,27.1,46.4,4.7,53.8,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"13","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20102011,76.3,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"14","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,20112012,71.8,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,"Manhattan","(40.712331851001, -73.984796625)",40.712331851001,-73.984796625
"15","01M450","EAST SIDE COMMUNITY SCHOOL",70,377,402,370,1149,20052006,NA,501,6,24.8,6.4,27.5,59.7,5.6,48.7,"Manhattan","(40.729782687, -73.983041441)",40.729782687,-73.983041441
